,title,imdb_id,id,release_date,runtime,vote_average,vote_count,popularity,budget,revenue,genres,spoken_languages,original_language,production_companies,production_countries,director
2330,Fanny,tt0022877,43146,1932-10-27,140,7.298,47,3.057,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",fr,"[{'id': 19160, 'logo_path': None, 'name': 'Les Films Marcel Pagnol', 'origin_country': ''}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Marc Allégret
2331,License to Kill,tt0058290,262618,1964-06-16,0,5.0,1,0.6,0,0,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}]","[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",fr,"[{'id': 44300, 'logo_path': None, 'name': 'Florida Films', 'origin_country': ''}, {'id': 63558, 'logo_path': None, 'name': 'Chaumiane', 'origin_country': ''}, {'id': 46654, 'logo_path': None, 'name': 'Filmstudio', 'origin_country': ''}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'FR', 'name': 'France'}]",Henri Decoin
2332,Nick Carter and Red Club,tt0141658,262186,1965-11-26,90,4.5,2,0.675,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]","[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",fr,"[{'id': 14680, 'logo_path': None, 'name': 'Parc Film', 'origin_country': 'FR'}, {'id': 63558, 'logo_path': None, 'name': 'Chaumiane', 'origin_country': ''}, {'id': 46654, 'logo_path': None, 'name': 'Filmstudio', 'origin_country': ''}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'FR', 'name': 'France'}]",Jean-Paul Savignac
2333,The New Adventures of Aladdin,tt4466864,344268,2015-10-14,107,4.713,801,11.768,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]","[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",fr,"[{'id': 11773, 'logo_path': '/8fCjsqh43LbPV6pm3SfR5Jx64GU.png', 'name': 'Artémis Productions', 'origin_country': 'BE'}, {'id': 1115, 'logo_path': '/ntH7T5gsN6wtyrfHGHJDTuneQ7o.png', 'name': 'M6 Films', 'origin_country': 'FR'}, {'id': 55401, 'logo_path': None, 'name': '74 Films', 'origin_country': ''}, {'id': 7981, 'logo_path': '/6Yv1gIAuGkHS5Vis4UjnqHhCPWV.png', 'name': 'Pathé', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Arthur Benzaquen
2334,The Brand New Adventures of Aladin,tt7136896,459616,2018-10-03,98,4.849,331,10.218,18900000,25498160,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",fr,"[{'id': 7981, 'logo_path': '/6Yv1gIAuGkHS5Vis4UjnqHhCPWV.png', 'name': 'Pathé', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Lionel Steketee
2335,Jeannette: The Childhood of Joan of Arc,tt6340264,399049,2017-09-06,105,6.1,33,1.863,0,0,"[{'id': 18, 'name': 'Drama'}]","[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",fr,"[{'id': 108978, 'logo_path': '/ruGip2yEKvPro06YKmZrKRIj9Qp.png', 'name': 'Taos Films', 'origin_country': 'FR'}, {'id': 75242, 'logo_path': '/pviLhXu8yVavzS2Z1pthpv9Z4w5.png', 'name': 'Pictanovo', 'origin_country': 'FR'}, {'id': 78938, 'logo_path': None, 'name': 'Région Hauts-de-France', 'origin_country': 'FR'}, {'id': 310, 'logo_path': '/4Gp5A4YdjPBfsHT47ngHMaXWmb9.png', 'name': 'CNC', 'origin_country': 'FR'}, {'id': 11687, 'logo_path': None, 'name': 'Le Fresnoy', 'origin_country': 'FR'}, {'id': 11699, 'logo_path': '/83QgqlqE0sqlpyDNfelHdUlkw6E.png', 'name': 'Sacem', 'origin_country': 'FR'}, {'id': 158628, 'logo_path': None, 'name': 'Cinémage 10 Développement', 'origin_country': ''}, {'id': 158629, 'logo_path': None, 'name': 'Cofinova Développement 3', 'origin_country': ''}, {'id': 311, 'logo_path': '/TNGvZ8zOklntjPP3EcsHtrR8Rc.png', 'name': 'PROCIREP', 'origin_country': 'FR'}, {'id': 309, 'logo_path': '/eVdJe4ha50lW1Eop1tq93TMh1XW.png', 'name': 'Angoa-Agicoa', 'origin_country': 'FR'}, {'id': 201, 'logo_path': '/6UIpEURdjnmcJPwgTDRzVRuwADr.png', 'name': 'ARTE', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Bruno Dumont
2336,Joan of Arc,tt8669356,540111,2019-09-11,137,5.9,40,3.202,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 36, 'name': 'History'}]","[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",fr,"[{'id': 5609, 'logo_path': None, 'name': '3B Productions', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Bruno Dumont
2337,"OSS 117: Cairo, Nest of Spies",tt0464913,15152,2006-04-19,99,7.261,1504,9.048,0,0,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]","[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]",fr,"[{'id': 11773, 'logo_path': '/8fCjsqh43LbPV6pm3SfR5Jx64GU.png', 'name': 'Artémis Productions', 'origin_country': 'BE'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Michel Hazanavicius
2338,OSS 117: From Africa with Love,tt7972012,604563,2021-08-04,117,5.644,616,7.202,20400000,13450000,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]","[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",fr,"[{'id': 9, 'logo_path': '/nda3dTUYdDrJ6rZqBpYvY865aDv.png', 'name': 'Gaumont', 'origin_country': 'FR'}, {'id': 121654, 'logo_path': '/3IzRrnakUemajC7fzC07WRNyZ9D.png', 'name': 'Mandarin Production', 'origin_country': 'FR'}, {'id': 1115, 'logo_path': '/ntH7T5gsN6wtyrfHGHJDTuneQ7o.png', 'name': 'M6 Films', 'origin_country': 'FR'}, {'id': 11199, 'logo_path': '/ursSXLOZaDxiZ84sEgfXbiFnYaa.png', 'name': 'SCOPE Pictures', 'origin_country': 'BE'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Nicolas Bedos
2339,OSS 117: Lost in Rio,tt1167660,15588,2009-04-15,100,7.126,1251,7.601,31165200,0,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hebrew', 'iso_639_1': 'he', 'name': 'עִבְרִית'}]",fr,"[{'id': 9, 'logo_path': '/nda3dTUYdDrJ6rZqBpYvY865aDv.png', 'name': 'Gaumont', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",Michel Hazanavicius
2340,On the Other Side of the Tracks,tt1937133,146375,2012-12-15,96,5.568,598,10.379,0,25109572,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]","[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",fr,"[{'id': 7839, 'logo_path': None, 'name': 'Mandarin Film', 'origin_country': ''}, {'id': 2908, 'logo_path': '/8TnTh3wLfwCHMryk1ujHdxEG2Kc.png', 'name': 'Mars Distribution', 'origin_country': 'FR'}, {'id': 1115, 'logo_path': '/ntH7T5gsN6wtyrfHGHJDTuneQ7o.png', 'name': 'M6 Films', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",David Charhon
