oIMDb,rIMDb,Original Budget,Original Box Office US/CA,Original Box Office Worldwide,Original Length,Original Rating,Original Director Names,Original Director Links,Original Cast Names,Original Cast Links,Original Awards,Remade Budget,Remade Box Office US/CA,Remade Box Office Worldwide,Remade Length,Remade Rating,Remade Director Names,Remade Director Links,Remade Cast Names,Remade Cast Links,Remade Awards
tt0046905,tt0051482,,,,1h 20m,6.2,Thomas Carr,['https://www.imdb.com/name/nm0139878/'],"Wayne Morris, Jimmy Lydon, Beverly Garland","['https://www.imdb.com/name/nm0606998/', 'https://www.imdb.com/name/nm0527996/', 'https://www.imdb.com/name/nm0307500/']",,,,,1h 18m,5.9,R.G. Springsteen,['https://www.imdb.com/name/nm0819806/'],"Frank Lovejoy, James Best, Abby Dalton","['https://www.imdb.com/name/nm0522481/', 'https://www.imdb.com/name/nm0078940/', 'https://www.imdb.com/name/nm0198231/']",
tt0047985,tt0099409,"$2,388,000 (estimated)",,,1h 52m,7.5,William Wyler,['https://www.imdb.com/name/nm0943758/'],"Humphrey Bogart, Fredric March, Arthur Kennedy","['https://www.imdb.com/name/nm0000007/', 'https://www.imdb.com/name/nm0545298/', 'https://www.imdb.com/name/nm0447913/']","Best Motion Picture
Joseph Hayes","$18,000,000 (estimated)","$2,742,912","$2,742,912",1h 45m,5.4,Michael Cimino,['https://www.imdb.com/name/nm0001047/'],"Mickey Rourke, Anthony Hopkins, Mimi Rogers","['https://www.imdb.com/name/nm0000620/', 'https://www.imdb.com/name/nm0000164/', 'https://www.imdb.com/name/nm0000211/']","Worst Actor
Mickey Rourke

            For 
        Wild Orchid"
tt0031225,tt0042482,,"$345,000",,1h 35m,7.6,George Marshall,['https://www.imdb.com/name/nm0550892/'],"Marlene Dietrich, James Stewart, Mischa Auer","['https://www.imdb.com/name/nm0000017/', 'https://www.imdb.com/name/nm0000071/', 'https://www.imdb.com/name/nm0041681/']",,,,,1h 21m,6.3,Louis King,['https://www.imdb.com/name/nm0003422/'],"Joel McCrea, Shelley Winters, Paul Kelly","['https://www.imdb.com/name/nm0566948/', 'https://www.imdb.com/name/nm0001859/', 'https://www.imdb.com/name/nm0446769/']",
tt0031225,tt0046906,,"$345,000",,1h 35m,7.6,George Marshall,['https://www.imdb.com/name/nm0550892/'],"Marlene Dietrich, James Stewart, Mischa Auer","['https://www.imdb.com/name/nm0000017/', 'https://www.imdb.com/name/nm0000071/', 'https://www.imdb.com/name/nm0041681/']",,,"$1,500,000",,1h 35m,6.6,George Marshall,['https://www.imdb.com/name/nm0550892/'],"Audie Murphy, Mari Blanchard, Lyle Bettger","['https://www.imdb.com/name/nm0001559/', 'https://www.imdb.com/name/nm0087080/', 'https://www.imdb.com/name/nm0079328/']",
tt0060305,tt0795370,,,"$16,310",2h 30m,7.9,Jean-Pierre Melville,['https://www.imdb.com/name/nm0578483/'],"Lino Ventura, Paul Meurisse, Raymond Pellegrin","['https://www.imdb.com/name/nm0893341/', 'https://www.imdb.com/name/nm0582890/', 'https://www.imdb.com/name/nm0670964/']","Best Film
Jean-Pierre Melville","€24,000,000 (estimated)",,"$4,195,364",2h 35m,5.7,Alain Corneau,['https://www.imdb.com/name/nm0006734/'],"Daniel Auteuil, Monica Bellucci, Michel Blanc","['https://www.imdb.com/name/nm0000809/', 'https://www.imdb.com/name/nm0000899/', 'https://www.imdb.com/name/nm0003508/']","Best Cinematography (Meilleure photographie)
Yves Angelo, Best Production Design (Meilleurs décors)
Thierry Flamand, Best Costume Design (Meilleurs costumes)
Corinne Jorry"
tt0046911,tt0116095,,,"$12,498",1h 57m,8.1,Henri-Georges Clouzot,['https://www.imdb.com/name/nm0167241/'],"Simone Signoret, Véra Clouzot, Paul Meurisse","['https://www.imdb.com/name/nm0797531/', 'https://www.imdb.com/name/nm0167243/', 'https://www.imdb.com/name/nm0582890/']","Best Foreign Film
Henri-Georges Clouzot",,"$17,100,266","$17,100,266",1h 47m,5.4,Jeremiah S. Chechik,['https://www.imdb.com/name/nm0154819/'],"Sharon Stone, Isabelle Adjani, Chazz Palminteri","['https://www.imdb.com/name/nm0000232/', 'https://www.imdb.com/name/nm0000254/', 'https://www.imdb.com/name/nm0001590/']","Feature Productions Cinema
Peter James"
tt0046912,tt0335041,"$1,400,000 (estimated)","$24,845","$42,915",1h 45m,8.2,Alfred Hitchcock,['https://www.imdb.com/name/nm0000033/'],"Ray Milland, Grace Kelly, Robert Cummings","['https://www.imdb.com/name/nm0001537/', 'https://www.imdb.com/name/nm0000038/', 'https://www.imdb.com/name/nm0191950/']","Best Foreign Actress
Grace Kelly",,,,2h,7.9,John Llewellyn Moxey,['https://www.imdb.com/name/nm0610303/'],"Laurence Harvey, Diane Cilento, Hugh O'Brian","['https://www.imdb.com/name/nm0002131/', 'https://www.imdb.com/name/nm0162283/', 'https://www.imdb.com/name/nm0639385/']",
tt0046912,tt0082265,"$1,400,000 (estimated)","$24,845","$42,915",1h 45m,8.2,Alfred Hitchcock,['https://www.imdb.com/name/nm0000033/'],"Ray Milland, Grace Kelly, Robert Cummings","['https://www.imdb.com/name/nm0001537/', 'https://www.imdb.com/name/nm0000038/', 'https://www.imdb.com/name/nm0191950/']","Best Foreign Actress
Grace Kelly",,,,1h 38m,6.4,Boris Sagal,['https://www.imdb.com/name/nm0755963/'],"Angie Dickinson, Christopher Plummer, Anthony Quayle","['https://www.imdb.com/name/nm0001141/', 'https://www.imdb.com/name/nm0001626/', 'https://www.imdb.com/name/nm0703033/']","Outstanding Film Sound Mixing
Stan Gordon
(production mixer)

Robert L. Harman
(re-recording mixer)

William L. McCaughey
(re-recording mixer)

Lee Minkler
(re-recording mixer)"
tt0046912,tt0120787,"$1,400,000 (estimated)","$24,845","$42,915",1h 45m,8.2,Alfred Hitchcock,['https://www.imdb.com/name/nm0000033/'],"Ray Milland, Grace Kelly, Robert Cummings","['https://www.imdb.com/name/nm0001537/', 'https://www.imdb.com/name/nm0000038/', 'https://www.imdb.com/name/nm0191950/']","Best Foreign Actress
Grace Kelly","$60,000,000 (estimated)","$67,638,368","$128,038,368",1h 47m,6.6,Andrew Davis,['https://www.imdb.com/name/nm0001112/'],"Michael Douglas, Gwyneth Paltrow, Viggo Mortensen","['https://www.imdb.com/name/nm0000140/', 'https://www.imdb.com/name/nm0000569/', 'https://www.imdb.com/name/nm0001557/']","Top Box Office Films
James Newton Howard"
tt6192660,tt0093010,,,,3m,6.7,Joseph Bernard,['https://www.imdb.com/name/nm8530083/'],Joseph Bernard,['https://www.imdb.com/name/nm8530083/'],,"$14,000,000 (estimated)","$156,645,693","$320,145,693",1h 59m,6.9,Adrian Lyne,['https://www.imdb.com/name/nm0001490/'],"Michael Douglas, Glenn Close, Anne Archer","['https://www.imdb.com/name/nm0000140/', 'https://www.imdb.com/name/nm0000335/', 'https://www.imdb.com/name/nm0000271/']","Best Picture
Stanley R. Jaffe

Sherry Lansing, Best Actress in a Leading Role
Glenn Close, Best Actress in a Supporting Role
Anne Archer, Best Director
Adrian Lyne, Best Writing, Screenplay Based on Material from Another Medium
James Dearden, Best Film Editing
Michael Kahn

Peter E. Berger"
