oIMDb,rIMDb,Original Budget,Original Box Office US/CA,Original Box Office Worldwide,Original Length,Original Rating,Original Director Names,Original Director Links,Original Cast Names,Original Cast Links,Original Awards,Remade Budget,Remade Box Office US/CA,Remade Box Office Worldwide,Remade Length,Remade Rating,Remade Director Names,Remade Director Links,Remade Cast Names,Remade Cast Links,Remade Awards
tt0057212,tt1436045,,,,2h 5m,7.4,Eiichi Kudô,['https://www.imdb.com/name/nm0473791/'],"Takayuki Akutagawa, Chiezô Kataoka, Kôtarô Satomi","['https://www.imdb.com/name/nm3321261/', 'https://www.imdb.com/name/nm0441154/', 'https://www.imdb.com/name/nm0766316/']",,"$6,000,000 (estimated)","$802,778","$18,689,058",2h 21m,7.5,Takashi Miike,['https://www.imdb.com/name/nm0586281/'],"Kôji Yakusho, Takayuki Yamada, Yûsuke Iseya","['https://www.imdb.com/name/nm0945131/', 'https://www.imdb.com/name/nm1303233/', 'https://www.imdb.com/name/nm0410832/']","Best Production Designer
Yûji Hayashida, Best Director
Takashi Miike, Best Actor
Kôji Yakusho, Best Editor
Kenji Yamashita, Best Costume Designer
Kazuhiro Sawataishi, Favorite Actor
Kôji Yakusho"
tt0053559,tt0245674,,"$3,270,000",,1h 25m,6.0,William Castle,['https://www.imdb.com/name/nm0145336/'],"Charles Herbert, Jo Morrow, Martin Milner","['https://www.imdb.com/name/nm0378517/', 'https://www.imdb.com/name/nm0607507/', 'https://www.imdb.com/name/nm0590398/']","Best DVD Collection
            For 
        The Tingler
            , 
        Homicidal
            , 
        Mr. Sardonicus
            , 
        Zotz!
            , 
        13 Frightened Girls
            , 
        The Old Dark House
            , 
        Strait-Jacket
            and 
        Spine Tingler! The William Castle Story

As part of ""The William Castle Collection"".","$42,000,000 (estimated)","$41,867,960","$68,467,960",1h 31m,5.6,Steve Beck,['https://www.imdb.com/name/nm0065284/'],"Tony Shalhoub, Shannon Elizabeth, Embeth Davidtz","['https://www.imdb.com/name/nm0001724/', 'https://www.imdb.com/name/nm0002436/', 'https://www.imdb.com/name/nm0001110/']",Best Horror Film
tt0475169,tt0798817,,"$121,390","$795,223",1h 33m,7.3,Géla Babluani,['https://www.imdb.com/name/nm1201875/'],"George Babluani, Aurélien Recoing, Pascal Bongard","['https://www.imdb.com/name/nm2073007/', 'https://www.imdb.com/name/nm0714534/', 'https://www.imdb.com/name/nm0094445/']","Most Promising Actor (Meilleur espoir masculin)
George Babluani, Best First Film (Meilleur premier film)
Géla Babluani","$20,000,000 (estimated)",,"$3,701,600",1h 31m,6.0,Géla Babluani,['https://www.imdb.com/name/nm1201875/'],"Sam Riley, Alice Barrett, Gaby Hoffmann","['https://www.imdb.com/name/nm0727165/', 'https://www.imdb.com/name/nm0057055/', 'https://www.imdb.com/name/nm0000451/']",Best DVD Release
tt1187043,tt2180477,"₹550,000,000 (estimated)","$6,532,874","$60,262,836",2h 50m,8.4,Rajkumar Hirani,['https://www.imdb.com/name/nm0386246/'],"Aamir Khan, Madhavan, Mona Singh","['https://www.imdb.com/name/nm0451148/', 'https://www.imdb.com/name/nm0534856/', 'https://www.imdb.com/name/nm1587175/']","Best Film
Vidhu Vinod Chopra

Vinod Chopra Productions, Best Actor
Aamir Khan, Best Director
Rajkumar Hirani, Best International DVD, Best Playback Singer - Female
Shreya Ghoshal


For the song "" Zoobi Doobi"", Best Editing
Rajkumar Hirani, Best Script
Rajkumar Hirani

Abhijat Joshi, Best Supporting Actor
Boman Irani, Best Supporting Actor
Sharman Joshi, Breakthrough Role (Actor)
Omi Vaidya","₹600,000,000 (estimated)",,"$15,007,076",3h 8m,7.7,S. Shankar,['https://www.imdb.com/name/nm0788171/'],"Joseph Vijay, Jiiva, Srikanth","['https://www.imdb.com/name/nm0897201/', 'https://www.imdb.com/name/nm1883318/', 'https://www.imdb.com/name/nm0820241/']","Best Actor
Joseph Vijay

            For 
        Thuppakki, Best Costume Designer
Kunal Rawal

Deepali Noor"
tt0050086,tt0381849,,"$4,033,000",,1h 32m,7.6,Delmer Daves,['https://www.imdb.com/name/nm0202681/'],"Glenn Ford, Van Heflin, Felicia Farr","['https://www.imdb.com/name/nm0001229/', 'https://www.imdb.com/name/nm0001336/', 'https://www.imdb.com/name/nm0268012/']","Best Film from any Source

USA.","$55,000,000 (estimated)","$53,606,916","$70,016,220",2h 2m,7.7,James Mangold,['https://www.imdb.com/name/nm0003506/'],"Russell Crowe, Christian Bale, Ben Foster","['https://www.imdb.com/name/nm0000128/', 'https://www.imdb.com/name/nm0000288/', 'https://www.imdb.com/name/nm0004936/']","Best Achievement in Music Written for Motion Pictures, Original Score
Marco Beltrami, Best Achievement in Sound Mixing
Paul Massey

David Giammarco

Jim Stuebe"
tt0057809,tt0096977,,,,1h 55m,7.3,George Seaton,['https://www.imdb.com/name/nm0780833/'],"James Garner, Eva Marie Saint, Rod Taylor","['https://www.imdb.com/name/nm0001258/', 'https://www.imdb.com/name/nm0001693/', 'https://www.imdb.com/name/nm0001792/']",,,,,1h 40m,5.4,Peter Markle,['https://www.imdb.com/name/nm0548533/'],"Corbin Bernsen, Joanna Pacula, John Glover","['https://www.imdb.com/name/nm0000929/', 'https://www.imdb.com/name/nm0001586/', 'https://www.imdb.com/name/nm0001278/']",
tt0026029,tt0053354,"£50,000 (estimated)",,"$51,711",1h 26m,7.6,Alfred Hitchcock,['https://www.imdb.com/name/nm0000033/'],"Robert Donat, Madeleine Carroll, Lucie Mannheim","['https://www.imdb.com/name/nm0232196/', 'https://www.imdb.com/name/nm0140914/', 'https://www.imdb.com/name/nm0543169/']","Best Director
Alfred Hitchcock

            For 
        The Man Who Knew Too Much",,,,1h 33m,6.6,Ralph Thomas,['https://www.imdb.com/name/nm0859387/'],"Kenneth More, Taina Elg, Brenda de Banzie","['https://www.imdb.com/name/nm0603336/', 'https://www.imdb.com/name/nm0253359/', 'https://www.imdb.com/name/nm0207219/']",
tt0018379,tt0029539,"$1,300,000 (estimated)",,,1h 50m,7.6,Frank Borzage,['https://www.imdb.com/name/nm0097648/'],"Janet Gaynor, Charles Farrell, Ben Bard","['https://www.imdb.com/name/nm0310980/', 'https://www.imdb.com/name/nm0268190/', 'https://www.imdb.com/name/nm0054133/']","Best Actress in a Leading Role
Janet Gaynor

            For 
        Street Angel
            and 
        Sunrise: A Song of Two Humans, Best Director, Dramatic Picture
Frank Borzage, Best Writing, Adaptation
Benjamin Glazer, Best Picture, Production, Best Art Direction
Harry Oliver",,,,1h 42m,7.0,Henry King,['https://www.imdb.com/name/nm0454771/'],"Simone Simon, James Stewart, Jean Hersholt","['https://www.imdb.com/name/nm0800386/', 'https://www.imdb.com/name/nm0000071/', 'https://www.imdb.com/name/nm0380965/']","Best Foreign Film
Henry King"
tt0425735,tt11686638,,,,2h 27m,5.7,Nazrul Islam,['https://www.imdb.com/name/nm0411262/'],"Nadeem Baig, Bahar Begum, Perveen Bobby","['https://www.imdb.com/name/nm3221054/', 'https://www.imdb.com/name/nm0066827/', 'https://www.imdb.com/name/nm3502854/']",,,,,2013,7.0,Sarmad Sultan Khoosat,['https://www.imdb.com/name/nm2557565/'],"Ali Ansari, Firdaus Jamal, Saba Qamar","['https://www.imdb.com/name/nm10172635/', 'https://www.imdb.com/name/nm1625490/', 'https://www.imdb.com/name/nm3884476/']",
tt0083578,tt5489004,,,,2h 18m,7.8,Mahesh Bhatt,['https://www.imdb.com/name/nm0080315/'],"Shabana Azmi, Kulbhushan Kharbanda, Smita Patil","['https://www.imdb.com/name/nm0000818/', 'https://www.imdb.com/name/nm0451425/', 'https://www.imdb.com/name/nm0665599/']","Best Actress
Shabana Azmi, Best Supporting Actress
Rohini Hattangadi, Best Dialogue
Mahesh Bhatt, Best Film, Best Supporting Actress
Smita Patil",,,"$29,938",2h 14m,5.6,"Shaan Shahid, Sanjay Upadhyay","['https://www.imdb.com/name/nm0787030/', 'https://www.imdb.com/name/nm8048359/']","Shaan Shahid, Uzma Hassan, Humaima Malik","['https://www.imdb.com/name/nm0787030/', 'https://www.imdb.com/name/nm4845109/', 'https://www.imdb.com/name/nm3892419/']","Best Singer - Male
Rahat Fateh Ali Khan, Best Actress
Uzma Hassan, Best Supporting Actress
Humaima Malik, Best Singer - Female
Sana Zulfiqar, Best Singer - Male
Sahir Ali Bagga"
tt0054594,tt0119137,"$2,000,000 (estimated)",,,1h 32m,6.7,Robert Stevenson,['https://www.imdb.com/name/nm0829038/'],"Fred MacMurray, Nancy Olson, Keenan Wynn","['https://www.imdb.com/name/nm0534045/', 'https://www.imdb.com/name/nm0647970/', 'https://www.imdb.com/name/nm0943978/']","Best Cinematography, Black-and-White
Edward Colman, Best Art Direction-Set Decoration, Black-and-White
Carroll Clark

Emile Kuri

Hal Gausman, Best Effects, Special Effects
Robert A. Mattey

Eustace Lycett","$80,000,000 (estimated)","$92,977,226","$177,977,226",1h 33m,5.3,Les Mayfield,['https://www.imdb.com/name/nm0562645/'],"Robin Williams, Marcia Gay Harden, Christopher McDonald","['https://www.imdb.com/name/nm0000245/', 'https://www.imdb.com/name/nm0001315/', 'https://www.imdb.com/name/nm0001520/']","Favorite Actor/Actress - Family
Robin Williams"
tt0092513,tt4456850,"$7,000,000 (estimated)","$34,368,475","$34,368,475",1h 42m,6.9,Chris Columbus,['https://www.imdb.com/name/nm0001060/'],"Elisabeth Shue, Maia Brewton, Keith Coogan","['https://www.imdb.com/name/nm0000223/', 'https://www.imdb.com/name/nm0108315/', 'https://www.imdb.com/name/nm0176861/']","Favorite Movie Actress
Elisabeth Shue
(actress), Favorite Movie
Touchstone Pictures
(production company)","$9,000,000 (estimated)",,,1h 45m,5.9,John Schultz,['https://www.imdb.com/name/nm0776271/'],"Sabrina Carpenter, Sofia Carson, Nikki Hahn","['https://www.imdb.com/name/nm4248775/', 'https://www.imdb.com/name/nm6259860/', 'https://www.imdb.com/name/nm3385478/']","Outstanding Directorial Achievement in Children's Programs
John Schultz"
tt0050105,tt0139065,,"$3,850,000","$3,851,689",1h 55m,7.4,Leo McCarey,['https://www.imdb.com/name/nm0564970/'],"Cary Grant, Deborah Kerr, Richard Denning","['https://www.imdb.com/name/nm0000026/', 'https://www.imdb.com/name/nm0000039/', 'https://www.imdb.com/name/nm0219396/']","Best Cinematography
Milton R. Krasner, Best Costume Design
Charles Le Maire, Best Music, Original Song
Harry Warren
(music)

Harold Adamson
(lyrics)

Leo McCarey
(lyrics)


For the song ""An Affair to Remember"", Best Music, Scoring
Hugo Friedhofer",,,,2h 37m,6.6,Kalidas,['https://www.imdb.com/name/nm0435753/'],"Ashok Kumar, Meena Kumari, Pradeep Kumar","['https://www.imdb.com/name/nm0006369/', 'https://www.imdb.com/name/nm0474932/', 'https://www.imdb.com/name/nm0474850/']",
tt0103639,tt6139732,"$28,000,000 (estimated)","$217,350,219","$504,050,219",1h 30m,8.0,"Ron Clements, John Musker","['https://www.imdb.com/name/nm0166256/', 'https://www.imdb.com/name/nm0615780/']","Scott Weinger, Robin Williams, Linda Larkin","['https://www.imdb.com/name/nm0918334/', 'https://www.imdb.com/name/nm0000245/', 'https://www.imdb.com/name/nm0488306/']","Best Music, Original Song
Alan Menken
(music)

Tim Rice
(lyrics)


For the song ""A Whole New World"", Best Music, Original Score
Alan Menken, Best Sound
Terry Porter

Mel Metcalfe

David J. Hudson

Doc Kane, Best Effects, Sound Effects Editing
Mark A. Mangini, Best Music, Original Song
Alan Menken
(music)

Howard Ashman
(lyrics)


For the song ""Friend Like Me."" Howard Ashman's nomination was posthumous.","$183,000,000 (estimated)","$355,559,216","$1,054,304,000",2h 8m,6.9,Guy Ritchie,['https://www.imdb.com/name/nm0005363/'],"Will Smith, Mena Massoud, Naomi Scott","['https://www.imdb.com/name/nm0000226/', 'https://www.imdb.com/name/nm4565815/', 'https://www.imdb.com/name/nm4305463/']","Best Costume Design
Michael Wilkinson, Best Supporting Actor
Will Smith, Best Supporting Actress
Naomi Scott, Best Director
Guy Ritchie, Best Production Design
Gemma Jackson, Best Editing
James Herbert, Best Music
Alan Menken, Best Special Effects
Michael Mulholland

David Seager

Daniele Bigi

Jeff Capogreco, Best Fantasy Film"
tt0060086,tt0375173,"$800,000 (estimated)",,,1h 54m,7.0,Lewis Gilbert,['https://www.imdb.com/name/nm0318150/'],"Michael Caine, Shelley Winters, Millicent Martin","['https://www.imdb.com/name/nm0000323/', 'https://www.imdb.com/name/nm0001859/', 'https://www.imdb.com/name/nm0552815/']","Best Picture
Lewis Gilbert, Best Actor in a Leading Role
Michael Caine, Best Actress in a Supporting Role
Vivien Merchant, Best Writing, Screenplay Based on Material from Another Medium
Bill Naughton, Best Music, Original Song
Burt Bacharach
(music)

Hal David
(lyrics)


For the song ""Alfie""","$60,000,000 (estimated)","$13,399,812","$35,060,882",1h 43m,6.2,Charles Shyer,['https://www.imdb.com/name/nm0796124/'],"Jude Law, Sienna Miller, Susan Sarandon","['https://www.imdb.com/name/nm0000179/', 'https://www.imdb.com/name/nm1092227/', 'https://www.imdb.com/name/nm0000215/']","Outstanding Supporting Actress in a Theatrical Film
Nia Long"
tt0078767,tt0384806,"$4,700,000 (estimated)","$86,432,000","$86,432,000",1h 57m,6.1,Stuart Rosenberg,['https://www.imdb.com/name/nm0742341/'],"James Brolin, Margot Kidder, Rod Steiger","['https://www.imdb.com/name/nm0000981/', 'https://www.imdb.com/name/nm0452288/', 'https://www.imdb.com/name/nm0001768/']","Best Music, Original Score
Lalo Schifrin","$19,000,000 (estimated)","$65,233,369","$107,516,369",1h 30m,5.9,Andrew Douglas,['https://www.imdb.com/name/nm1497918/'],"Ryan Reynolds, Melissa George, Jimmy Bennett","['https://www.imdb.com/name/nm0005351/', 'https://www.imdb.com/name/nm0313534/', 'https://www.imdb.com/name/nm1497548/']","Best Horror

For ""Get Out""."
tt0048947,tt0118617,"$3,520,000 (estimated)",,,1h 45m,7.0,Anatole Litvak,['https://www.imdb.com/name/nm0514822/'],"Ingrid Bergman, Yul Brynner, Helen Hayes","['https://www.imdb.com/name/nm0000006/', 'https://www.imdb.com/name/nm0000989/', 'https://www.imdb.com/name/nm0371040/']","Best Actress in a Leading Role
Ingrid Bergman


Ingrid Bergman was not present at the awards ceremony. Cary Grant accepted on her behalf., Best Music, Scoring of a Dramatic or Comedy Picture
Alfred Newman","$50,000,000 (estimated)","$58,406,347","$139,804,348",1h 34m,7.1,"Don Bluth, Gary Goldman","['https://www.imdb.com/name/nm0089940/', 'https://www.imdb.com/name/nm0325776/']","Meg Ryan, John Cusack, Christopher Lloyd","['https://www.imdb.com/name/nm0000212/', 'https://www.imdb.com/name/nm0000131/', 'https://www.imdb.com/name/nm0000502/']","Best Music, Original Song
Stephen Flaherty
(music)

Lynn Ahrens
(lyrics)


For the song ""Journey To The Past""., Best Music, Original Musical or Comedy Score
Stephen Flaherty

Lynn Ahrens

David Newman"
tt0065398,tt1391034,"£260,000 (estimated)",,,1h 39m,6.6,Robert Fuest,['https://www.imdb.com/name/nm0297523/'],"Pamela Franklin, Michele Dotrice, Sandor Elès","['https://www.imdb.com/name/nm0291512/', 'https://www.imdb.com/name/nm0234540/', 'https://www.imdb.com/name/nm0255973/']",,,,"$177,182",1h 31m,5.1,Marcos Efron,['https://www.imdb.com/name/nm1259604/'],"Amber Heard, Odette Annable, Karl Urban","['https://www.imdb.com/name/nm1720028/', 'https://www.imdb.com/name/nm0951148/', 'https://www.imdb.com/name/nm0881631/']",
tt0043286,tt0109127,"$1,081,000 (estimated)",,,1h 39m,7.1,Clarence Brown,['https://www.imdb.com/name/nm0113284/'],"Paul Douglas, Janet Leigh, Keenan Wynn","['https://www.imdb.com/name/nm0007222/', 'https://www.imdb.com/name/nm0001463/', 'https://www.imdb.com/name/nm0943978/']","Best Written American Comedy
Dorothy Kingsley

George Wells","$24,000,000 (estimated)","$50,236,831","$50,236,831",1h 42m,6.2,William Dear,['https://www.imdb.com/name/nm0213100/'],"Danny Glover, Brenda Fricker, Tony Danza","['https://www.imdb.com/name/nm0000418/', 'https://www.imdb.com/name/nm0002084/', 'https://www.imdb.com/name/nm0001103/']","Best Fantasy Film, Best Performance by a Younger Actor
Joseph Gordon-Levitt, Best Director
William Dear"
tt0411118,tt1243957,,,"$6,306,533",1h 29m,6.5,Jérôme Salle,['https://www.imdb.com/name/nm1362432/'],"Yvan Attal, Sophie Marceau, Sami Frey","['https://www.imdb.com/name/nm0040939/', 'https://www.imdb.com/name/nm0000521/', 'https://www.imdb.com/name/nm0293739/']","Best First Film (Meilleur premier film)
Jérôme Salle","$100,000,000 (estimated)","$67,631,157","$278,780,441",1h 43m,6.0,Florian Henckel von Donnersmarck,['https://www.imdb.com/name/nm0003697/'],"Johnny Depp, Angelina Jolie, Paul Bettany","['https://www.imdb.com/name/nm0000136/', 'https://www.imdb.com/name/nm0001401/', 'https://www.imdb.com/name/nm0079273/']","Top Box Office Films
James Newton Howard"
tt0082479,tt0202233,,,,1h 32m,5.3,Joe D'Amato,['https://www.imdb.com/name/nm0001090/'],"Tisa Farrow, Saverio Vallone, Serena Grandi","['https://www.imdb.com/name/nm0268533/', 'https://www.imdb.com/name/nm0885204/', 'https://www.imdb.com/name/nm0000423/']",,"DEM 50,000 (estimated)",,,1h 20m,3.5,Andreas Schnaas,['https://www.imdb.com/name/nm0773593/'],"Achim Kohlhase, Andre Sobottka, Dirk Thies","['https://www.imdb.com/name/nm0463306/', 'https://www.imdb.com/name/nm0811894/', 'https://www.imdb.com/name/nm0858066/']",
tt1217637,tt1458175,"€7,930,000 (estimated)",,"$6,548,942",1h 36m,7.1,Fred Cavayé,['https://www.imdb.com/name/nm0146991/'],"Vincent Lindon, Diane Kruger, Lancelot Roch","['https://www.imdb.com/name/nm0512071/', 'https://www.imdb.com/name/nm1208167/', 'https://www.imdb.com/name/nm3249161/']","Best First Film (Meilleur premier film)
Fred Cavayé
(director)

Olivier Delbosc
(producer)

Eric Jehelmann
(producer)

Marc Missonnier
(producer)","$30,000,000 (estimated)","$21,148,651","$67,448,651",2h 13m,7.3,Paul Haggis,['https://www.imdb.com/name/nm0353673/'],"Russell Crowe, Elizabeth Banks, Liam Neeson","['https://www.imdb.com/name/nm0000128/', 'https://www.imdb.com/name/nm0006969/', 'https://www.imdb.com/name/nm0000553/']","Best Director
Paul Haggis, Best Screenwriter
Paul Haggis"
tt0115561,tt0324554,,,,1h 56m,7.4,Gilles Mimouni,['https://www.imdb.com/name/nm0590813/'],"Romane Bohringer, Vincent Cassel, Jean-Philippe Écoffey","['https://www.imdb.com/name/nm0001960/', 'https://www.imdb.com/name/nm0001993/', 'https://www.imdb.com/name/nm0959897/']",Best Film not in the English Language,"$30,000,000 (estimated)","$13,001,257","$21,741,598",1h 54m,6.9,Paul McGuigan,['https://www.imdb.com/name/nm0006476/'],"Josh Hartnett, Diane Kruger, Matthew Lillard","['https://www.imdb.com/name/nm0001326/', 'https://www.imdb.com/name/nm1208167/', 'https://www.imdb.com/name/nm0000498/']",Paul McGuigan
tt0090655,tt0090655,"$5,000,000 (estimated)","$12,947,763","$12,947,763",1h 29m,6.1,Fred Walton,['https://www.imdb.com/name/nm0910510/'],"Deborah Foreman, Griffin O'Neal, Clayton Rohner","['https://www.imdb.com/name/nm0286033/', 'https://www.imdb.com/name/nm0641906/', 'https://www.imdb.com/name/nm0737553/']",,"$5,000,000 (estimated)","$12,947,763","$12,947,763",1h 29m,6.1,Fred Walton,['https://www.imdb.com/name/nm0910510/'],"Deborah Foreman, Griffin O'Neal, Clayton Rohner","['https://www.imdb.com/name/nm0286033/', 'https://www.imdb.com/name/nm0641906/', 'https://www.imdb.com/name/nm0737553/']",
tt0048960,tt0327437,"$6,000,000 (estimated)","$42,000,000","$42,000,000",2h 47m,6.7,"Michael Anderson, John Farrow","['https://www.imdb.com/name/nm0027183/', 'https://www.imdb.com/name/nm0268513/']","David Niven, Cantinflas, Finlay Currie","['https://www.imdb.com/name/nm0000057/', 'https://www.imdb.com/name/nm0134594/', 'https://www.imdb.com/name/nm0192958/']","Best Picture
Mike Todd, Best Writing, Best Screenplay - Adapted
James Poe

John Farrow

S.J. Perelman, Best Cinematography, Color
Lionel Lindon, Best Film Editing
Gene Ruggiero

Paul Weatherwax, Best Music, Scoring of a Dramatic or Comedy Picture
Victor Young


Posthumously., Best Director
Michael Anderson, Best Art Direction-Set Decoration, Color
James W. Sullivan

Ken Adam

Ross Dowd, Best Costume Design, Color
Miles White","$110,000,000 (estimated)","$24,008,137","$72,178,895",2h,5.8,Frank Coraci,['https://www.imdb.com/name/nm0178997/'],"Jackie Chan, Steve Coogan, Jim Broadbent","['https://www.imdb.com/name/nm0000329/', 'https://www.imdb.com/name/nm0176869/', 'https://www.imdb.com/name/nm0000980/']","Worst Supporting Actor
Arnold Schwarzenegger


Ah-Nuld Schwarzenegger, Around the World in 80 Daze., Worst Remake or Sequel

Around the World in 80 Daze."
tt0069729,tt0284867,,,,1h 30m,5.2,Steve Carver,['https://www.imdb.com/name/nm0142587/'],"Margaret Markov, Pam Grier, Lucretia Love","['https://www.imdb.com/name/nm0548619/', 'https://www.imdb.com/name/nm0000427/', 'https://www.imdb.com/name/nm0522370/']",,,,,1h 32m,3.0,Timur Bekmambetov,['https://www.imdb.com/name/nm0067457/'],"Karen McDougal, Lisa Dergan, Olga Sutulova","['https://www.imdb.com/name/nm0568210/', 'https://www.imdb.com/name/nm0220346/', 'https://www.imdb.com/name/nm0840430/']","Best Editing
Daniel Kendrick"
tt0082031,tt1334512,"$7,000,000 (estimated)","$95,461,682","$95,461,682",1h 37m,6.9,Steve Gordon,['https://www.imdb.com/name/nm0330619/'],"Dudley Moore, Liza Minnelli, John Gielgud","['https://www.imdb.com/name/nm0001545/', 'https://www.imdb.com/name/nm0591485/', 'https://www.imdb.com/name/nm0000024/']","Best Actor in a Supporting Role
John Gielgud



John Gielgud was not present at the award's ceremony. Presenters Carol Burnett and Joel Grey ...                More


John Gielgud was not present at the award's ceremony. Presenters Carol Burnett and Joel Grey accepted the award on his behalf., Best Music, Original Song
Burt Bacharach

Carole Bayer Sager

Christopher Cross

Peter Allen


For the song ""Arthur's Theme (Best That You Can Do)"", Best Actor in a Leading Role
Dudley Moore, Best Writing, Screenplay Written Directly for the Screen
Steve Gordon","$40,000,000 (estimated)","$33,035,397","$48,147,945",1h 50m,5.7,Jason Winer,['https://www.imdb.com/name/nm0934864/'],"Russell Brand, Helen Mirren, Jennifer Garner","['https://www.imdb.com/name/nm1258970/', 'https://www.imdb.com/name/nm0000545/', 'https://www.imdb.com/name/nm0004950/']",Sequel or Remake That Shouldn't Have Been Made
tt0074156,tt0398712,"$150,000 (estimated)",,,1h 31m,7.3,John Carpenter,['https://www.imdb.com/name/nm0000118/'],"Austin Stoker, Darwin Joston, Laurie Zimmer","['https://www.imdb.com/name/nm0831288/', 'https://www.imdb.com/name/nm0430944/', 'https://www.imdb.com/name/nm0956633/']","Best Feature
John Carpenter","$30,000,000 (estimated)","$20,040,895","$35,294,470",1h 49m,6.3,Jean-François Richet,['https://www.imdb.com/name/nm0724938/'],"Ethan Hawke, Laurence Fishburne, Gabriel Byrne","['https://www.imdb.com/name/nm0000160/', 'https://www.imdb.com/name/nm0000401/', 'https://www.imdb.com/name/nm0000321/']","Outstanding Achievement in Sound Editing - Feature Film
Kevin Banks

Lee de Lang

Craig Henighan

Jill Purdy

Nathan Robitaille"
tt0051380,tt0106317,"$88,000 (estimated)",,,1h 6m,5.0,Nathan Juran,['https://www.imdb.com/name/nm0432846/'],"Allison Hayes, William Hudson, Yvette Vickers","['https://www.imdb.com/name/nm0370886/', 'https://www.imdb.com/name/nm0399989/', 'https://www.imdb.com/name/nm0896035/']",,,,,1h 30m,3.9,Christopher Guest,['https://www.imdb.com/name/nm0001302/'],"Daryl Hannah, Daniel Baldwin, William Windom","['https://www.imdb.com/name/nm0000435/', 'https://www.imdb.com/name/nm0000838/', 'https://www.imdb.com/name/nm0934750/']","Best Film
Christopher Guest"
tt0411131,tt0959328,,,,2h 48m,7.8,Cheran,['https://www.imdb.com/name/nm0155741/'],"Cheran, Sneha, Gopika","['https://www.imdb.com/name/nm0155741/', 'https://www.imdb.com/name/nm0998044/', 'https://www.imdb.com/name/nm1560318/']","Best Film
Cheran, Best Director
Cheran, Best Supporting Actress
Mallika, Best Music Director
Bharathwaj",,,,2h 28m,7.5,Gopal Reddy S.,['https://www.imdb.com/name/nm0754167/'],"Ravi Teja, Bhoomika Chawla, Gopika","['https://www.imdb.com/name/nm0712433/', 'https://www.imdb.com/name/nm0154653/', 'https://www.imdb.com/name/nm1560318/']","Best Actress: Critics
Bhoomika Chawla"
tt0028597,tt0028597,"$600,000 (estimated)",,,1h 30m,7.7,Leo McCarey,['https://www.imdb.com/name/nm0564970/'],"Irene Dunne, Cary Grant, Ralph Bellamy","['https://www.imdb.com/name/nm0002050/', 'https://www.imdb.com/name/nm0000026/', 'https://www.imdb.com/name/nm0000897/']","Best Director
Leo McCarey, Best Picture
Columbia, Best Actress in a Leading Role
Irene Dunne, Best Actor in a Supporting Role
Ralph Bellamy, Best Writing, Screenplay
Viña Delmar, Best Film Editing
Al Clark","$600,000 (estimated)",,,1h 30m,7.7,Leo McCarey,['https://www.imdb.com/name/nm0564970/'],"Irene Dunne, Cary Grant, Ralph Bellamy","['https://www.imdb.com/name/nm0002050/', 'https://www.imdb.com/name/nm0000026/', 'https://www.imdb.com/name/nm0000897/']","Best Director
Leo McCarey, Best Picture
Columbia, Best Actress in a Leading Role
Irene Dunne, Best Actor in a Supporting Role
Ralph Bellamy, Best Writing, Screenplay
Viña Delmar, Best Film Editing
Al Clark"
tt0022651,tt0033365,,"$1,962,000",,1h 33m,7.0,John M. Stahl,['https://www.imdb.com/name/nm0821472/'],"Irene Dunne, John Boles, George Meeker","['https://www.imdb.com/name/nm0002050/', 'https://www.imdb.com/name/nm0092900/', 'https://www.imdb.com/name/nm0576120/']",,,,,1h 29m,6.7,Robert Stevenson,['https://www.imdb.com/name/nm0829038/'],"Charles Boyer, Margaret Sullavan, Richard Carlson","['https://www.imdb.com/name/nm0000964/', 'https://www.imdb.com/name/nm0837925/', 'https://www.imdb.com/name/nm0137999/']","Best Music, Scoring of a Dramatic Picture
Frank Skinner"
tt0074174,tt0408524,,"$32,211,330","$32,211,330",1h 42m,7.3,Michael Ritchie,['https://www.imdb.com/name/nm0006916/'],"Walter Matthau, Tatum O'Neal, Vic Morrow","['https://www.imdb.com/name/nm0000527/', 'https://www.imdb.com/name/nm0001575/', 'https://www.imdb.com/name/nm0607558/']","Best Actor
Walter Matthau

            For 
        The Sunshine Boys","$35,000,000 (estimated)","$32,868,349","$34,252,847",1h 53m,5.8,Richard Linklater,['https://www.imdb.com/name/nm0000500/'],"Billy Bob Thornton, Greg Kinnear, Marcia Gay Harden","['https://www.imdb.com/name/nm0000671/', 'https://www.imdb.com/name/nm0001427/', 'https://www.imdb.com/name/nm0001315/']",Best Animation/Family
tt0048977,tt0088766,"$1,000,000 (estimated)",,,2h 9m,7.4,Mervyn LeRoy,['https://www.imdb.com/name/nm0503777/'],"Nancy Kelly, Patty McCormack, Gage Clarke","['https://www.imdb.com/name/nm0446715/', 'https://www.imdb.com/name/nm0566478/', 'https://www.imdb.com/name/nm0164764/']","Best Actress in a Leading Role
Nancy Kelly, Best Actress in a Supporting Role
Eileen Heckart, Best Actress in a Supporting Role
Patty McCormack, Best Cinematography, Black-and-White
Harold Rosson",,,,1h 40m,5.5,Paul Wendkos,['https://www.imdb.com/name/nm0920862/'],"Blair Brown, Lynn Redgrave, David Carradine","['https://www.imdb.com/name/nm0001974/', 'https://www.imdb.com/name/nm0001655/', 'https://www.imdb.com/name/nm0001016/']","Outstanding Cinematography for a Limited Series or a Special
Ted Voigtlander"
