oIMDb,rIMDb
tt0026529,tt0063748
tt0077735,tt0795403
tt0079336,tt0314786
tt0119375,tt0278504
tt0027796,tt0031491
tt0360674,tt0480269
tt1675434,tt9730752
tt0045917,tt0091276
tt0049366,tt0077745
tt0049366,tt0106452
tt0049366,tt0427392
tt0039502,tt5295386
tt0039502,tt0125204
tt0039502,tt0154413
tt0025316,tt0037685
tt0025316,tt0049973
tt0033766,tt0058222
tt0064505,tt0317740
tt0071675,tt1172060
tt0038650,tt0076213
tt0018037,tt0044765
tt0018037,tt0080948
tt0034920,tt0052629
tt0074720,tt0084809
tt0031514,tt0039581
tt0034922,tt0073213
tt0034928,tt0061852
tt0034928,tt0458419
tt0034928,tt3040964
tt0375878,tt0475591
tt0087538,tt1155076
tt0024216,tt0074751
tt0024216,tt0158780
tt0024216,tt0360717
tt0036984,tt0048260
tt0039536,tt0051612
tt0039536,tt0113552
tt7624456,tt7702382
tt0079417,tt7653254
tt0097700,tt0113277
tt0048280,tt8096832
tt0024240,tt0055312
tt0048281,tt0335245
tt0030341,tt0079428
tt0456144,tt0944233
tt0073260,tt1410205
tt0042665,tt0408985
tt0068833,tt0844708
tt0265930,tt0434139
tt0015051,tt0024189
tt0058700,tt0067525
tt0023117,tt0052992
tt0050625,tt0058165
tt1139797,tt1228987
tt0032701,tt0039937
tt0041587,tt0089478
tt0087622,tt0265086
tt0110357,tt6105098
tt0021079,tt0069792
tt0046004,tt0418835
tt5971474,tt5971474
tt0025410,tt0041902
tt0054033,tt0091419
tt0926762,tt1606789
tt0926762,tt1850397
tt1194616,tt1592873
tt0018097,tt0026685
tt0071771,tt0291341
tt0071771,tt0398165
tt0051878,tt0089500
tt0029162,tt0070337
tt0110390,tt0131369
tt0031593,tt0050105
tt0031593,tt0110391
tt0029165,tt0040870
tt0239608,tt0231816
tt0239608,tt4139928
tt0022100,tt0043766
tt0022183,tt0051964
tt0054047,tt0080421
tt0054047,tt2404435
tt0035019,tt0048822
tt0025452,tt0049470
tt0076155,tt0085891
tt0056218,tt0368008
tt0214915,tt1339248
tt0214915,tt0449869
tt0214915,tt1339353
tt0214915,tt0995031
tt0282599,tt0410297
tt0017120,tt0040568
tt0025478,tt0026319
tt1029234,tt1663655
tt0024314,tt0030026
tt0031647,tt0037903
tt0068931,tt0472399
tt0015131,tt0023175
tt0339385,tt1667862
tt0054084,tt0081158
tt0041650,tt0120751
tt2659414,tt10431500
tt2659414,tt10431500
tt2659414,tt11799822
tt0037077,tt0052141
tt0039628,tt0070395
tt0039628,tt0110527
tt0010466,tt0023228
tt3516378,tt4344878
tt3516378,tt5265702
tt0064990,tt0218922
tt0031604,tt0095654
tt0036172,tt0061170
tt0246772,tt0481141
tt0081186,tt1434435
tt0040613,tt0091541
tt0027996,tt0280590
tt0031679,tt0075754
tt0120762,tt4566758
tt0023245,tt0120616
tt0023245,tt2345759
tt0374887,tt0408181
tt0021165,tt0021128
tt0056262,tt0056262
tt0082782,tt1179891
tt0110612,tt0110612
tt0029284,tt0217055
tt0029284,tt0057329
tt0091584,tt4131800
tt0028010,tt0028010
tt0037932,tt0092842
tt0035105,tt0048401
tt0024368,tt0045888
tt1244097,tt0232169
tt1244097,tt9740272
tt1997455,tt1637995
tt1997455,tt5612402
tt1997455,tt1822235
tt1997455,tt2706264
tt0348853,tt1352824
tt0110631,tt0119791
tt0110646,tt0113986
tt0042788,tt0105001
tt0029310,tt0058401
tt0093624,tt1268809
tt0063350,tt0100258
tt0063350,tt0489244
tt0087800,tt1179056
tt0247586,tt0362526
tt0013442,tt0079641
tt0050778,tt0095756
tt0050778,tt0114004
tt0247586,tt0362526
tt0247586,tt1645757
tt0247586,tt2454836
tt0057372,tt0117218
tt0455663,tt0485486
tt0455663,tt3412778
tt0455663,tt0431308
tt0455663,tt1431325
tt0455663,tt1587426
tt0455663,tt3412034
tt0455663,tt2357926
tt0054135,tt0240772
tt0023293,tt0057379
tt0364569,tt1321511
tt0075005,tt0466909
tt0053137,tt0053137
tt0055254,tt0115433
tt0046072,tt0046072
tt0046072,tt0110518
tt0479968,tt0479968
tt0024414,tt0034236
tt0125659,tt0259711
tt0062083,tt0102603
tt7905548,tt0057997
tt0066193,tt0129280
tt0039689,tt0086859
tt0093693,tt1563742
