imdb_id,Movie Budget,Movie Box Office US/CA,Movie Box Office Worldwide,Movie Length,Movie Rating,Movie Director Names,Movie Director Links,Movie Cast Names,Movie Cast Links,Movie Awards
tt0286832,,,,1h 11m,,Shôgorô Nishimura,['https://www.imdb.com/name/nm0632765/'],"Rumi Tama, Rei Okamoto, Aoi Nakajima","['https://www.imdb.com/name/nm0848396/', 'https://www.imdb.com/name/nm0993648/', 'https://www.imdb.com/name/nm0620026/']",
tt0347780,,,,1912,,"Zena Keefe, Julia Swayne Gordon, James Morrison","['https://www.imdb.com/name/nm0444404/', 'https://www.imdb.com/name/nm0330352/', 'https://www.imdb.com/name/nm0607174/']","Zena Keefe, Julia Swayne Gordon, James Morrison","['https://www.imdb.com/name/nm0444404/', 'https://www.imdb.com/name/nm0330352/', 'https://www.imdb.com/name/nm0607174/']",
tt1754916,,,,1977,,Chun-Ku Lu,['https://www.imdb.com/name/nm0490541/'],"Meg Lam, David Lo, Ching Tang","['https://www.imdb.com/name/nm0482662/', 'https://www.imdb.com/name/nm1353797/', 'https://www.imdb.com/name/nm0849272/']",
tt8099318,,,"$5,557",2h,6.2,"Emir Khalilzadeh, Kudret Sabanci","['https://www.imdb.com/name/nm5717949/', 'https://www.imdb.com/name/nm0754503/']","Gizem Karaca, Ilker Kizmaz, Tekin Temel","['https://www.imdb.com/name/nm4604771/', 'https://www.imdb.com/name/nm3103879/', 'https://www.imdb.com/name/nm1033084/']",
tt13014334,,,,1982,,Les Blair,['https://www.imdb.com/name/nm0086295/'],"Debbie Arnold, Alan J. Clark, William Macbain","['https://www.imdb.com/name/nm0036408/', 'https://www.imdb.com/name/nm6763741/', 'https://www.imdb.com/name/nm0564234/']",
tt0395819,,,,1h 30m,6.6,Qimin Li,['https://www.imdb.com/name/nm1276377/'],"Jianming Sun, Xiling Zhang, Jie Cui","['https://www.imdb.com/name/nm1533130/', 'https://www.imdb.com/name/nm1534116/', 'https://www.imdb.com/name/nm1251064/']",
tt7510552,,,,25m,,Ivan Horský,['https://www.imdb.com/name/nm9343311/'],"Natasa Gollová, Miriam Kantorková, Václav Sloup","['https://www.imdb.com/name/nm0326538/', 'https://www.imdb.com/name/nm0437985/', 'https://www.imdb.com/name/nm0806230/']",
tt19405588,,,"$2,525",2h 47m,7.6,Margarida Cardoso,['https://www.imdb.com/name/nm0136673/'],"Beatriz Batarda, Sita Valles","['https://www.imdb.com/name/nm0060705/', 'https://www.imdb.com/name/nm13713857/']",
tt0472994,,,,56m,,Hector Galan,['https://www.imdb.com/name/nm1882546/'],"Amadeo Flores, Victoria Galvan, Rick Garcia","['https://www.imdb.com/name/nm1992237/', 'https://www.imdb.com/name/nm1994812/', 'https://www.imdb.com/name/nm13328329/']",Outstanding Television Documentary
tt6079776,,,,1934,,"Ernest Truex, Montagu Love","['https://www.imdb.com/name/nm0874139/', 'https://www.imdb.com/name/nm0002311/']","Ernest Truex, Montagu Love","['https://www.imdb.com/name/nm0874139/', 'https://www.imdb.com/name/nm0002311/']",
tt1133942,,,,1962,,Tony Santos,['https://www.imdb.com/name/nm0763954/'],"Patsy, Dely Atay-atayan, Chichay","['https://www.imdb.com/name/nm1392647/', 'https://www.imdb.com/name/nm0040314/', 'https://www.imdb.com/name/nm0193809/']",
tt0190873,,,,1978,,Chana Krapayun,['https://www.imdb.com/name/nm0469850/'],"Sompob Benjathikul, Sorapong Chatree, Choosri Misomon","['https://www.imdb.com/name/nm1669726/', 'https://www.imdb.com/name/nm0154083/', 'https://www.imdb.com/name/nm2951922/']",
